direction,video_id,start_time,end_time,start_idx,motion
stop→lick,stop_149,0.8,1.3,24,0.0020752062367049057
stop→lick,stop_149,0.26666666666666666,0.7666666666666667,8,0.002605887773709731
stop→lick,stop_149,0.5333333333333333,1.0333333333333334,16,0.003024071600252066
stop→lick,stop_149,0.0,0.5,0,0.0032468641668556893
lick→stop,lick_8,1.0666666666666667,1.5666666666666667,32,0.004344306451969298
lick→stop,lick_8,1.8666666666666667,2.3666666666666667,56,0.004485734484744536
lick→stop,lick_8,1.6,2.1,48,0.00566619949518364
lick→stop,lick_8,1.3333333333333333,1.8333333333333333,40,0.005843684865459936
lick→stop,lick_8,2.6666666666666665,3.1666666666666665,80,0.006595463313427248
lick→stop,lick_8,2.1333333333333333,2.6333333333333333,64,0.007027993936923401
lick→stop,lick_8,2.4,2.9,72,0.008705792472748091
stop→lick,stop_164,1.8666666666666667,2.3666666666666667,56,0.015557263017809617
