direction,video_id,start_time,end_time,start_idx,motion
stop→lick,stop_57,0.26666666666666666,0.7666666666666667,8,0.0010921494381684735
stop→lick,stop_126,0.0,0.5,0,0.0011266989339948027
stop→lick,stop_57,0.0,0.5,0,0.0012630678546273527
stop→lick,stop_146,0.8,1.3,24,0.0014025676977767623
stop→lick,stop_126,0.26666666666666666,0.7666666666666667,8,0.0014433086136887304
stop→lick,stop_57,0.5333333333333333,1.0333333333333334,16,0.0016038345417197018
stop→lick,stop_146,0.5333333333333333,1.0333333333333334,16,0.0016537507307652643
stop→lick,stop_57,1.0666666666666667,1.5666666666666667,32,0.0016883053842476209
stop→lick,stop_146,0.0,0.5,0,0.0017929551600928903
stop→lick,stop_57,0.8,1.3,24,0.001996419816612039
stop→lick,stop_146,0.26666666666666666,0.7666666666666667,8,0.0020407786859151095
stop→lick,stop_146,1.0666666666666667,1.5666666666666667,32,0.002085383356047313
stop→lick,stop_146,1.3333333333333333,1.8333333333333333,40,0.0023021022521116305
lick→stop,lick_4,24.266666666666666,24.766666666666666,728,0.006914495817117316
lick→stop,lick_4,24.533333333333335,25.033333333333335,736,0.00775444438842431
lick→stop,lick_4,24.8,25.3,744,0.009712803948963586
